 STOCKS VALORIZADOS POR ALMACEN - LINEAS 


*OPEN COMB SYSTEMS

**MARKET

COD. LINEA,LINEA,COD. PRODUCTO,PRODUCTO,COD. UNIDAD,STOCK-TOTAL,COSTO,VALOR-TOTAL
000025,FILTROS,000000LFP-265 ,LFP-265 LYS ,UNI ,6.0000 ,11.870056 ,71.2203360000
000025,FILTROS,000000LFP-304 ,LFP-304 LYS ,UNI ,13.0000 ,8.799217 ,114.3898210000
000025,FILTROS,000000LFP-305 ,LFP-305 LYS ,UNI ,10.0000 ,10.429892 ,104.2989200000
000025,FILTROS,000000LFP-354 ,LFP-354 LYS ,UNI ,3.0000 ,16.649718 ,49.9491540000
000025,FILTROS,000000LFP-355 ,LFP-355 LYS ,UNI ,14.0000 ,10.389831 ,145.4576340000
000025,FILTROS,000000LFP-356 ,LFP-356 LYS ,UNI ,9.0000 ,10.932203 ,98.3898270000
000025,FILTROS,000000LFP-521 ,LFP-521 LYS ,UNI ,13.0000 ,20.428292 ,265.5677960000
000025,FILTROS,000000LFP-544 ,LFP-544 LYS ,UNI ,6.0000 ,17.190678 ,103.1440680000
000025,FILTROS,000000LFP-571 ,LFP-571 LYS ,UNI ,9.0000 ,20.014125 ,180.1271250000
000025,FILTROS,000000LFP-796 ,LFP-796 LYS ,UNI ,8.0000 ,11.400424 ,91.2033920000
000025,FILTROS,000000LFP-829 ,LFP-829 LYS ,UNI ,11.0000 ,11.518490 ,126.7033900000
000025,FILTROS,000000LFP-877 ,LFP-877 LYS ,UNI ,3.0000 ,13.750000 ,41.2500000000
000025,FILTROS,000000LP-1150 ,LP-1150 LYS ,UNI ,5.0000 ,80.200000 ,401.0000000000
000025,FILTROS,000000LP-4700 ,LP-4700 LYS ,UNI ,2.0000 ,10.211864 ,20.4237280000
000025,FILTROS,000000LP-9010 ,LP-9010 LYS ,UNI ,4.0000 ,10.449153 ,41.7966120000
000025,FILTROS,000000LP-9027 ,LP-9027 LYS ,UNI ,5.0000 ,16.520339 ,82.6016950000
000025,FILTROS,000000MFF-783 ,MFF-783 PUROLATOR ,UNI ,0.0000 ,0.000000 ,0.0000000000
000025,FILTROS,000000P32528A ,P32528A FRAM ,UNI ,0.0000 ,0.000000 ,0.0000000000
000025,FILTROS,000000PER-111 ,PER-111 ,UNI ,4.0000 ,12.661017 ,50.6440680000
000025,FILTROS,000000PER-173 ,PER-173 PUROLATOR ,UNI ,2.0000 ,15.508475 ,31.0169500000
000025,FILTROS,000000PER-288 ,PER-288 PUROLATOR ,UNI ,4.0000 ,29.620763 ,118.4830520000
000025,FILTROS,000000PER-301 ,PER-301 PUROLATOR ,UNI ,6.0000 ,20.870056 ,125.2203360000
000025,FILTROS,000000PER-559 ,PER-559 PUROLATOR ,UNI ,8.0000 ,11.942797 ,95.5423760000
000025,FILTROS,000000PH-3985 ,PH-3985 FRAM ,UNI ,1.0000 ,10.720339 ,10.7203390000
000025,FILTROS,000000R90-30M ,R90-30M PARKER RACOR ,UNI ,7.0000 ,85.420097 ,597.9406790000
000025,FILTROS,000000WF-2073 ,WF-2073 FLEETGUARD ,UNI ,5.0000 ,34.298305 ,171.4915250000
000025,FILTROS,00000AF-10105 ,AF-10105 PUROLATOR ,UNI ,2.0000 ,39.288136 ,78.5762720000
000025,FILTROS,00000AF-10265 ,AF-10265 PUROLATOR ,UNI ,1.0000 ,37.796610 ,37.7966100000
000025,FILTROS,00000AF-10269 ,AF-10269 PUROLATOR ,UNI ,4.0000 ,39.110169 ,156.4406760000
000025,FILTROS,00000AF-10289 ,AF-10289 PUROLATOR ,UNI ,6.0000 ,84.883778 ,509.3026680000
000025,FILTROS,00000AF-10372 ,AF-10372 PUROLATOR ,UNI ,3.0000 ,66.531073 ,199.5932190000
000025,FILTROS,00000AF-10373 ,AF-10373 PUROLATOR ,UNI ,3.0000 ,27.649718 ,82.9491540000
000025,FILTROS,00000AF-26103 ,AF-26103 FLEETGUARD ,UNI ,2.0000 ,185.250000 ,370.5000000000
000025,FILTROS,00000AF-26268 ,AF-26268 FLEETGUARD ,UNI ,2.0000 ,104.300847 ,208.6016940000
000025,FILTROS,00000AFL-1120 ,AFL-1120 LYS ,UNI ,3.0000 ,23.050847 ,69.1525410000
000025,FILTROS,00000AFL-1121 ,AFL-1121 LYS ,UNI ,3.0000 ,16.988701 ,50.9661030000
000025,FILTROS,00000AFL-1130 ,AFL-1130 LYS ,UNI ,1.0000 ,50.949153 ,50.9491530000
000025,FILTROS,00000AFL-1204 ,AFL-1204 LYS ,UNI ,10.0000 ,27.148305 ,271.4830500000
000025,FILTROS,00000AFL-1205 ,AFL-1205 LYS ,UNI ,6.0000 ,37.470339 ,224.8220340000
000025,FILTROS,00000AFL-1206 ,AFL-1206 LYS ,UNI ,1.0000 ,56.076271 ,56.0762710000
000025,FILTROS,00000AFL-1222 ,AFL-1222 LYS ,UNI ,3.0000 ,32.189266 ,96.5677980000
000025,FILTROS,00000AFL-1225 ,AFL-1225 LYS ,UNI ,1.0000 ,77.423729 ,77.4237290000
000025,FILTROS,00000AFL-145J ,AFL-145J LYS ,UNI ,3.0000 ,11.440678 ,34.3220340000
000025,FILTROS,00000AFL-146J ,AFL-146J LYS ,UNI ,2.0000 ,28.059322 ,56.1186440000
000025,FILTROS,00000AFL-2003 ,AFL-2003 LYS ,UNI ,3.0000 ,9.779661 ,29.3389830000
000025,FILTROS,00000AFL-2813 ,AFL-2813 LYS ,UNI ,4.0000 ,37.809322 ,151.2372880000
000025,FILTROS,00000AFL-3380 ,AFL-3380 LYS ,UNI ,2.0000 ,125.771186 ,251.5423720000
